,session_id,session_position,session_length,track_id_clean,skip_1,skip_2,skip_3,not_skipped,context_switch,no_pause_before_play,short_pause_before_play,long_pause_before_play,hist_user_behavior_n_seekfwd,hist_user_behavior_n_seekback,hist_user_behavior_is_shuffle,hour_of_day,date,premium,context_type,hist_user_behavior_reason_start,hist_user_behavior_reason_end
0,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,1,20,t_25304f89-6747-48bf-ade4-48b08a7b60dc,True,True,True,False,0,0,0,0,0,0,False,11,2018-07-29,True,catalog,appload,fwdbtn
1,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,2,20,t_eca7d726-39c2-416f-8f59-ed83f7818825,False,False,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
2,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,3,20,t_ab7eb2cc-90ff-42f6-8cd6-25e739599f80,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
3,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,4,20,t_b8c7fb56-edc2-4437-8a68-f0dc8a3fbc85,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
4,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,5,20,t_7f8212ac-c612-420e-9a6f-ec9049eb64dd,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
5,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,6,20,t_603fa0c0-a093-4f74-88d9-63dfefc6cdb3,False,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
6,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,7,20,t_d2efeb7b-3a96-4085-8517-8ad65cf9f40f,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
7,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,8,20,t_2d1703bf-dfc1-4aa5-a91a-875f71abc110,False,False,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
8,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,9,20,t_f620ca38-feff-4d34-b4e5-fe6efc3ba639,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
9,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,10,20,t_0172f87c-74dd-4644-843d-ebbc71470b6b,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
10,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,11,20,t_ef36aaa5-8d7d-4961-b4ff-c9dbbed3c4bc,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
11,14_000068d3-5d3a-4cf1-ad7b-3e007fcf4c63,12,20,t_c45c5812-d327-49eb-b344-4a3e908b604b,True,True,True,False,0,1,0,0,0,0,False,11,2018-07-29,True,catalog,fwdbtn,fwdbtn
